site,b,m,n,n_dense,dense_cut,n_sparse,spearman,auc,dense_step,sparse_sd
R12,1,20.0,12487,1539,50.0,9554,-0.3264214738093884,0.7944122006533636,-0.563646674156189,0.27907082438468933
R12,3,60.0,1380,139,44.44444274902344,759,-0.43295030956514197,0.9094131809177164,-0.5482501983642578,0.12132758647203445
R12,6,120.0,358,37,34.72222137451172,183,-0.5449108430898437,0.9709053315610692,-0.443183034658432,0.06872902065515518
R12,12,240.0,89,9,30.208332061767578,45,-0.7719658149878472,0.9975308641975308,-0.3621821701526642,0.04384012892842293
R12,25,500.0,19,2,25.404052734375,10,-0.8421052631578947,1.0,-0.18304790556430817,0.03464769199490547
R13,1,20.0,25835,3211,75.0,16642,-0.23214020017276463,0.6945240681527878,-0.30244219303131104,0.2835310399532318
R13,3,60.0,2886,293,61.111106872558594,1453,-0.31561631546905505,0.7360950275879726,-0.222164586186409,0.14838990569114685
R13,6,120.0,718,73,54.166664123535156,359,-0.35183006533226385,0.7235853016369672,-0.12313045561313629,0.09891726821660995
R13,12,240.0,180,18,47.1180534362793,90,-0.31872175483559567,0.6802469135802469,-0.06584692746400833,0.05861390382051468
R13,25,500.0,38,4,40.496002197265625,19,-0.325309114782799,0.7236842105263157,-0.052868299186229706,0.04254436492919922
