site,kind,ym,n_scenes,vh
20171016_EW_WW_Campus_AOE,polygon,2016-01,16,-14.748218628536632
20171114_EW_WW_Bachsee_north_AOE,polygon,2016-01,16,-14.542155114961878
2017_Xavier_BB_Eberswalde_UAV_AOE,polygon,2016-01,16,-14.633517074143626
20210706_EW_WW_Kaufland_AOE,polygon,2016-01,16,-14.830372802387725
20220226_EW_WW_Campus_Oberheide_AOE,polygon,2016-01,16,-14.766863610804286
2022_Zeynep_BB_Eberswalde_UAV_AOE,polygon,2016-01,16,-15.020651520786554
20220212_Barnekow_3_AOE,polygon,2016-01,16,-18.24562065165828
20220212_Barnekow_5_AOE,polygon,2016-01,16,-17.895451713257177
2022_Zeynep_MV_Barnekow_AOE,polygon,2016-01,16,-18.039777463965265
2022_Zeynep_MV_Bremerhagen_AOE,polygon,2016-01,16,-17.806449317000535
20220209_Bremerhagen_3_AOE,polygon,2016-01,16,-17.50004329687795
20171016_EW_WW_Campus_AOE,ring,2016-01,16,-15.03566712162696
20171114_EW_WW_Bachsee_north_AOE,ring,2016-01,16,-14.977190653243733
2017_Xavier_BB_Eberswalde_UAV_AOE,ring,2016-01,16,-15.132015856623152
20210706_EW_WW_Kaufland_AOE,ring,2016-01,16,-15.74639414377926
20220226_EW_WW_Campus_Oberheide_AOE,ring,2016-01,16,-15.079315532728756
2022_Zeynep_BB_Eberswalde_UAV_AOE,ring,2016-01,16,-15.568721034253606
20220212_Barnekow_3_AOE,ring,2016-01,16,-16.82653958553119
20220212_Barnekow_5_AOE,ring,2016-01,16,-17.12225220035309
2022_Zeynep_MV_Barnekow_AOE,ring,2016-01,16,-16.93186268532161
2022_Zeynep_MV_Bremerhagen_AOE,ring,2016-01,16,-16.69031101010427
20220209_Bremerhagen_3_AOE,ring,2016-01,16,-16.778610964152524
20171016_EW_WW_Campus_AOE,polygon,2016-02,15,-14.762328130070493
20171114_EW_WW_Bachsee_north_AOE,polygon,2016-02,15,-13.111211339596734
2017_Xavier_BB_Eberswalde_UAV_AOE,polygon,2016-02,15,-13.970529191796201
20210706_EW_WW_Kaufland_AOE,polygon,2016-02,15,-13.711722220190001
20220226_EW_WW_Campus_Oberheide_AOE,polygon,2016-02,15,-14.769888894642277
2022_Zeynep_BB_Eberswalde_UAV_AOE,polygon,2016-02,15,-14.853746491997443
20220212_Barnekow_3_AOE,polygon,2016-02,15,-17.251621920169438
20220212_Barnekow_5_AOE,polygon,2016-02,15,-17.051260646676564
