site,kind,ha,stems,stems_ha,stem_area_pct,step,date_ok
Eberswalde Campus (Xavier),corpus,11.880775621790638,822,69.18740208276995,2.447767668175702,-0.9995404196002017,1
Bachsee north (Xavier),corpus,3.1526831266959032,136,43.13785893938908,1.4310297627317643,-0.3445178269818066,1
"Kaufland (summer storm 2021, date approx.)",corpus,0.5393162303241179,125,231.77496424477636,4.637511283936454,0.013670948348525891,0
Campus Oberheide (Zeynep),corpus,11.163056299584637,490,43.89478892247747,1.7176608730906773,-0.09174041752497801,1
Barnekow 3 (Zeynep),corpus,1.5516492164703115,358,230.7222510087542,4.776656629129689,-0.9684505693054869,1
Barnekow 5 (Zeynep),corpus,2.7787802910135104,1012,364.1885626124443,6.572562350675711,-1.13177712791224,1
Barnekow 6 (Zeynep),corpus,1.0336841566692072,741,716.8533978383592,14.781413847172296,-0.8442852780416291,1
Bremerhagen 3 (Zeynep),corpus,0.25663201555479104,158,615.6675333684816,7.001120717036877,-1.590294853434675,1
Tegel R12 footprint (2025),tegel,514.8769740010448,8322,16.16308442642283,nan,-0.09622462838888168,1
Tegel R13 footprint (2025),tegel,1033.0778832872722,25223,24.41539056062256,nan,-0.06979100406169891,1
