site,kind,ym,vh
R12,damaged,2017-01,-14.88441276550293
R12,intact,2017-01,-15.274369239807129
R12,damaged,2017-02,-14.165160179138184
R12,intact,2017-02,-14.562800407409668
R12,damaged,2017-03,-13.433733940124512
R12,intact,2017-03,-13.757353782653809
R12,damaged,2017-04,-13.549139976501465
R12,intact,2017-04,-13.905869483947754
R12,damaged,2017-05,-14.148720741271973
R12,intact,2017-05,-14.2588472366333
R12,damaged,2017-06,-14.526616096496582
R12,intact,2017-06,-14.50627613067627
R12,damaged,2017-07,-14.267590522766113
R12,intact,2017-07,-14.283428192138672
R12,damaged,2017-08,-14.597187995910645
R12,intact,2017-08,-14.632474899291992
R12,damaged,2017-09,-15.018447875976562
R12,intact,2017-09,-15.01963996887207
R12,damaged,2017-10,-14.455988883972168
R12,intact,2017-10,-14.535618782043457
R12,damaged,2017-11,-13.660008430480957
R12,intact,2017-11,-13.909377098083496
R12,damaged,2017-12,-13.643688201904297
R12,intact,2017-12,-13.933117866516113
R12,damaged,2018-01,-13.720662117004395
R12,intact,2018-01,-13.994462013244629
R12,damaged,2018-02,-14.872350692749023
R12,intact,2018-02,-15.142833709716797
R12,damaged,2018-03,-14.457530975341797
R12,intact,2018-03,-14.717312812805176
R12,damaged,2018-04,-13.653963088989258
R12,intact,2018-04,-13.88000202178955
R12,damaged,2018-05,-15.093733787536621
R12,intact,2018-05,-14.89742374420166
R12,damaged,2018-06,-14.947073936462402
R12,intact,2018-06,-14.850859642028809
R12,damaged,2018-07,-14.870593070983887
R12,intact,2018-07,-14.785537719726562
R12,damaged,2018-08,-15.143513679504395
R12,intact,2018-08,-14.96828556060791
R12,damaged,2018-09,-15.426849365234375
R12,intact,2018-09,-15.294700622558594
R12,damaged,2018-10,-15.438227653503418
R12,intact,2018-10,-15.368379592895508
R12,damaged,2018-11,-14.468778610229492
R12,intact,2018-11,-14.69717025756836
R12,damaged,2018-12,-13.789673805236816
R12,intact,2018-12,-14.084336280822754
R12,damaged,2019-01,-14.3206148147583
R12,intact,2019-01,-14.562590599060059
R12,damaged,2019-02,-14.002909660339355
R12,intact,2019-02,-14.201741218566895
R12,damaged,2019-03,-13.841535568237305
R12,intact,2019-03,-14.108637809753418
R12,damaged,2019-04,-14.202268600463867
R12,intact,2019-04,-14.38821029663086
R12,damaged,2019-05,-15.419175148010254
R12,intact,2019-05,-15.256500244140625
R12,damaged,2019-06,-14.521607398986816
R12,intact,2019-06,-14.574108123779297
R12,damaged,2019-07,-14.824085235595703
R12,intact,2019-07,-14.908363342285156
R12,damaged,2019-08,-14.899307250976562
R12,intact,2019-08,-14.948802947998047
R12,damaged,2019-09,-15.01687240600586
R12,intact,2019-09,-15.2420072555542
R12,damaged,2019-10,-14.879317283630371
R12,intact,2019-10,-15.029823303222656
R12,damaged,2019-11,-14.089670181274414
R12,intact,2019-11,-14.369974136352539
R12,damaged,2019-12,-13.799637794494629
R12,intact,2019-12,-14.116602897644043
R12,damaged,2020-01,-13.98348617553711
R12,intact,2020-01,-14.300537109375
R12,damaged,2020-02,-13.59987735748291
R12,intact,2020-02,-13.920276641845703
R12,damaged,2020-03,-13.858550071716309
R12,intact,2020-03,-14.209894180297852
R12,damaged,2020-04,-13.929370880126953
R12,intact,2020-04,-14.267943382263184
R12,damaged,2020-05,-15.314298629760742
R12,intact,2020-05,-15.224175453186035
R12,damaged,2020-06,-14.906641006469727
R12,intact,2020-06,-14.816353797912598
R12,damaged,2020-07,-15.090442657470703
R12,intact,2020-07,-15.009025573730469
R12,damaged,2020-08,-14.885635375976562
R12,intact,2020-08,-14.799744606018066
R12,damaged,2020-09,-15.1763277053833
R12,intact,2020-09,-15.179515838623047
R12,damaged,2020-10,-15.011517524719238
R12,intact,2020-10,-15.051972389221191
R12,damaged,2020-11,-14.04592227935791
R12,intact,2020-11,-14.417226791381836
R12,damaged,2020-12,-14.097711563110352
R12,intact,2020-12,-14.434020042419434
R12,damaged,2021-01,-14.271503448486328
R12,intact,2021-01,-14.588311195373535
R12,damaged,2021-02,-14.674077033996582
R12,intact,2021-02,-14.940189361572266
R12,damaged,2021-03,-14.26149845123291
R12,intact,2021-03,-14.497156143188477
R12,damaged,2021-04,-13.90388298034668
R12,intact,2021-04,-14.173434257507324
R12,damaged,2021-05,-14.712603569030762
R12,intact,2021-05,-14.541887283325195
R12,damaged,2021-06,-15.013991355895996
R12,intact,2021-06,-14.860369682312012
R12,damaged,2021-07,-14.906539916992188
R12,intact,2021-07,-14.760433197021484
R12,damaged,2021-08,-15.146093368530273
R12,intact,2021-08,-15.005913734436035
R12,damaged,2021-09,-15.439970016479492
R12,intact,2021-09,-15.269007682800293
R12,damaged,2021-10,-15.557292938232422
R12,intact,2021-10,-15.488819122314453
R12,damaged,2021-11,-14.033937454223633
R12,intact,2021-11,-14.289085388183594
R12,damaged,2021-12,-14.22359848022461
R12,intact,2021-12,-14.520235061645508
R12,damaged,2022-01,-14.023799896240234
R12,intact,2022-01,-14.298821449279785
R12,damaged,2022-02,-13.977558135986328
R12,intact,2022-02,-14.186185836791992
R12,damaged,2022-03,-14.478440284729004
R12,intact,2022-03,-14.65140151977539
R12,damaged,2022-04,-14.212250709533691
R12,intact,2022-04,-14.302511215209961
R12,damaged,2022-05,-15.024807929992676
R12,intact,2022-05,-14.742398262023926
R12,damaged,2022-06,-14.956400871276855
R12,intact,2022-06,-14.880672454833984
R12,damaged,2022-07,-14.867135047912598
R12,intact,2022-07,-14.869556427001953
R12,damaged,2022-08,-15.026395797729492
R12,intact,2022-08,-14.999454498291016
R12,damaged,2022-09,-15.049628257751465
R12,intact,2022-09,-15.119217872619629
R12,damaged,2022-10,-15.023365020751953
R12,intact,2022-10,-15.125120162963867
R12,damaged,2022-11,-14.165068626403809
R12,intact,2022-11,-14.442715644836426
R12,damaged,2022-12,-14.311636924743652
R12,intact,2022-12,-14.66788387298584
R12,damaged,2023-01,-13.85684871673584
R12,intact,2023-01,-14.134127616882324
R12,damaged,2023-02,-14.577286720275879
R12,intact,2023-02,-14.799787521362305
R12,damaged,2023-03,-13.85062026977539
R12,intact,2023-03,-14.116843223571777
R12,damaged,2023-04,-13.813950538635254
R12,intact,2023-04,-14.083436965942383
R12,damaged,2023-05,-15.07794189453125
R12,intact,2023-05,-14.842557907104492
R12,damaged,2023-06,-14.969610214233398
R12,intact,2023-06,-14.840508460998535
R12,damaged,2023-07,-15.068412780761719
R12,intact,2023-07,-14.866661071777344
R12,damaged,2023-08,-14.93825626373291
R12,intact,2023-08,-14.810102462768555
R12,damaged,2023-09,-15.374429702758789
R12,intact,2023-09,-15.255570411682129
R12,damaged,2023-10,-15.32052993774414
R12,intact,2023-10,-15.153616905212402
R12,damaged,2023-11,-14.508682250976562
R12,intact,2023-11,-14.673020362854004
R12,damaged,2023-12,-13.85580062866211
R12,intact,2023-12,-14.064884185791016
R12,damaged,2024-01,-14.751058578491211
R12,intact,2024-01,-14.966890335083008
R12,damaged,2024-02,-13.515852928161621
R12,intact,2024-02,-13.653221130371094
R12,damaged,2024-03,-14.184874534606934
R12,intact,2024-03,-14.246312141418457
R12,damaged,2024-04,-14.129737854003906
R12,intact,2024-04,-14.19620132446289
R12,damaged,2024-05,-15.273582458496094
R12,intact,2024-05,-14.904829978942871
R12,damaged,2024-06,-15.155960083007812
R12,intact,2024-06,-14.946934700012207
R12,damaged,2024-07,-14.944954872131348
R12,intact,2024-07,-14.787942886352539
R12,damaged,2024-08,-15.132416725158691
R12,intact,2024-08,-14.944993019104004
R12,damaged,2024-09,-15.233477592468262
R12,intact,2024-09,-15.125470161437988
R12,damaged,2024-10,-15.583370208740234
R12,intact,2024-10,-15.454583168029785
R12,damaged,2024-11,-14.358316421508789
R12,intact,2024-11,-14.49807357788086
R12,damaged,2024-12,-13.825429916381836
R12,intact,2024-12,-14.071332931518555
R12,damaged,2025-01,-14.160030364990234
R12,intact,2025-01,-14.333338737487793
R12,damaged,2025-02,-15.119172096252441
R12,intact,2025-02,-15.277812957763672
R12,damaged,2025-03,-14.358662605285645
R12,intact,2025-03,-14.499963760375977
R12,damaged,2025-04,-14.494449615478516
R12,intact,2025-04,-14.543878555297852
R12,damaged,2025-05,-15.889366149902344
R12,intact,2025-05,-15.491263389587402
R12,damaged,2025-06,-15.303945541381836
R12,intact,2025-06,-14.974021911621094
R12,damaged,2025-07,-15.477849006652832
R12,intact,2025-07,-14.689043998718262
R12,damaged,2025-08,-16.08233070373535
R12,intact,2025-08,-15.0626220703125
R12,damaged,2025-09,-16.211421966552734
R12,intact,2025-09,-15.226324081420898
R12,damaged,2025-10,-16.068862915039062
R12,intact,2025-10,-15.227065086364746
R12,damaged,2025-11,-15.201483726501465
R12,intact,2025-11,-14.447372436523438
R12,damaged,2025-12,-15.145215034484863
R12,intact,2025-12,-14.535236358642578
R12,damaged,2026-01,-16.652917861938477
R12,intact,2026-01,-15.794621467590332
R12,damaged,2026-02,-15.764872550964355
R12,intact,2026-02,-15.108068466186523
R12,damaged,2026-03,-15.293169975280762
R12,intact,2026-03,-14.28558349609375
R12,damaged,2026-04,-15.181486129760742
R12,intact,2026-04,-14.106870651245117
R12,damaged,2026-05,-16.10662078857422
R12,intact,2026-05,-14.790319442749023
R12,damaged,2026-06,-15.962136268615723
R12,intact,2026-06,-14.635858535766602
R12,damaged,2026-07,-16.20867347717285
R12,intact,2026-07,-14.830597877502441
R12,damaged,2026-08,-15.742773056030273
R12,intact,2026-08,-14.609138488769531
R12,damaged,2026-09,-16.085241317749023
R12,intact,2026-09,-14.903564453125
R13,damaged,2017-01,-15.775185585021973
R13,intact,2017-01,-16.187297821044922
R13,damaged,2017-02,-15.017349243164062
R13,intact,2017-02,-15.39824390411377
R13,damaged,2017-03,-14.097443580627441
R13,intact,2017-03,-14.573134422302246
R13,damaged,2017-04,-14.270613670349121
R13,intact,2017-04,-14.725221633911133
R13,damaged,2017-05,-14.29453182220459
R13,intact,2017-05,-14.72236442565918
R13,damaged,2017-06,-14.472411155700684
R13,intact,2017-06,-14.850176811218262
R13,damaged,2017-07,-14.268213272094727
R13,intact,2017-07,-14.551104545593262
R13,damaged,2017-08,-14.52160930633545
R13,intact,2017-08,-14.863823890686035
R13,damaged,2017-09,-14.916522026062012
